instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,type
30,02-01-2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,train
31,02-01-2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,train
32,02-01-2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,train
33,02-01-2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,train
34,02-01-2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,train
35,02-01-2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,train
36,02-01-2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,train
37,02-01-2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,train
38,02-01-2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,train
39,02-01-2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,train
40,02-01-2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,train
41,02-01-2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,train
42,02-01-2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,train
43,02-01-2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,train
44,02-01-2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,train
45,02-01-2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,train
46,02-01-2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,train
47,02-01-2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,train
48,03-01-2011,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,train
49,03-01-2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,train
50,03-01-2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,train
51,03-01-2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,train
52,03-01-2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,train
53,03-01-2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,train
54,03-01-2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,train
55,03-01-2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,train
56,03-01-2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,train
57,03-01-2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,train
58,03-01-2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,train
59,03-01-2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,train
60,03-01-2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,train
61,03-01-2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,train
62,03-01-2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,train
63,03-01-2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,train
64,03-01-2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,train
65,03-01-2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,train
66,03-01-2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,train
67,03-01-2011,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,train
68,03-01-2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,train
69,03-01-2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,train
70,04-01-2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,train
71,04-01-2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,train
72,04-01-2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,train
73,04-01-2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,train
74,04-01-2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,train
75,04-01-2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,train
76,04-01-2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,train
77,04-01-2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,train
78,04-01-2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,train
79,04-01-2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,train
80,04-01-2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,train
81,04-01-2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,train
82,04-01-2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,train
83,04-01-2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,train
84,04-01-2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,train
85,04-01-2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,train
86,04-01-2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,train
87,04-01-2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,train
88,04-01-2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,train
89,04-01-2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,train
90,04-01-2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,train
91,04-01-2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,train
92,04-01-2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,train
93,05-01-2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,train
94,05-01-2011,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,train
95,05-01-2011,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,train
96,05-01-2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,train
97,05-01-2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,train
98,05-01-2011,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,train
99,05-01-2011,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,train
100,05-01-2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,train
101,05-01-2011,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,train
102,05-01-2011,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,train
103,05-01-2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,train
104,05-01-2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,train
105,05-01-2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,train
106,05-01-2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,train
107,05-01-2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,train
108,05-01-2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,train
109,05-01-2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,train
110,05-01-2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,train
111,05-01-2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,train
112,05-01-2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,train
113,05-01-2011,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,train
114,05-01-2011,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,train
115,05-01-2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,train
116,06-01-2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,train
117,06-01-2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,train
118,06-01-2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,train
119,06-01-2011,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,train
120,06-01-2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,train
121,06-01-2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,train
122,06-01-2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,train
123,06-01-2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,train
124,06-01-2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,train
125,06-01-2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,train
126,06-01-2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,train
127,06-01-2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,train
128,06-01-2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,train
129,06-01-2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,train
130,06-01-2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,train
131,06-01-2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,train
132,06-01-2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,train
133,06-01-2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,train
134,06-01-2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,train
135,06-01-2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,train
136,06-01-2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,train
137,06-01-2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,train
138,06-01-2011,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,train
139,07-01-2011,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,train
140,07-01-2011,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,train
141,07-01-2011,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,train
142,07-01-2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,train
143,07-01-2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,train
144,07-01-2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,train
145,07-01-2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,train
146,07-01-2011,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,train
147,07-01-2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,train
148,07-01-2011,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,train
149,07-01-2011,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,train
150,07-01-2011,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,train
151,07-01-2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,train
152,07-01-2011,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,train
153,07-01-2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,train
154,07-01-2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,train
155,07-01-2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,train
156,07-01-2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,train
157,07-01-2011,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,train
158,07-01-2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,train
159,07-01-2011,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,train
160,07-01-2011,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,train
161,07-01-2011,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,train
162,08-01-2011,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,train
163,08-01-2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,train
164,08-01-2011,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,train
165,08-01-2011,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,train
166,08-01-2011,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,train
167,08-01-2011,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,train
168,08-01-2011,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,train
169,08-01-2011,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,train
170,08-01-2011,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,train
171,08-01-2011,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,train
172,08-01-2011,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,train
173,08-01-2011,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,train
174,08-01-2011,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,train
175,08-01-2011,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,train
176,08-01-2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,train
177,08-01-2011,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,train
178,08-01-2011,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,train
179,08-01-2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,train
180,08-01-2011,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,train
181,08-01-2011,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,train
182,08-01-2011,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,train
183,08-01-2011,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,train
184,08-01-2011,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,train
185,08-01-2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,train
186,09-01-2011,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,train
187,09-01-2011,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,train
188,09-01-2011,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,train
189,09-01-2011,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,train
190,09-01-2011,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,train
191,09-01-2011,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,train
192,09-01-2011,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,train
193,09-01-2011,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,train
194,09-01-2011,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,train
195,09-01-2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,train
196,09-01-2011,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,train
197,09-01-2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,train
198,09-01-2011,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,train
199,09-01-2011,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,train
200,09-01-2011,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,train
201,09-01-2011,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,train
202,09-01-2011,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,train
203,09-01-2011,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,train
204,09-01-2011,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,train
205,09-01-2011,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,train
206,09-01-2011,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,train
207,09-01-2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,train
208,09-01-2011,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,train
209,09-01-2011,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,train
210,10-01-2011,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,train
211,10-01-2011,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,train
212,10-01-2011,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,train
213,10-01-2011,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,train
214,10-01-2011,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,train
215,10-01-2011,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,train
216,10-01-2011,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,train
217,10-01-2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,train
218,10-01-2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,train
219,10-01-2011,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,train
220,10-01-2011,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,train
221,10-01-2011,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,train
222,10-01-2011,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,train
223,10-01-2011,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,train
224,10-01-2011,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,train
225,10-01-2011,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,train
226,10-01-2011,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,train
227,10-01-2011,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,train
228,10-01-2011,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,train
229,10-01-2011,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,train
230,10-01-2011,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,train
231,10-01-2011,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,train
232,10-01-2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,train
233,10-01-2011,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,train
234,11-01-2011,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,train
235,11-01-2011,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,train
236,11-01-2011,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,train
237,11-01-2011,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,train
238,11-01-2011,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,train
239,11-01-2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99,train
240,11-01-2011,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,train
241,11-01-2011,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,train
242,11-01-2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,train
243,11-01-2011,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,train
244,11-01-2011,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,train
245,11-01-2011,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,train
246,11-01-2011,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,train
247,11-01-2011,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,train
248,11-01-2011,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,train
249,11-01-2011,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,train
250,11-01-2011,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,train
251,11-01-2011,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51,train
252,11-01-2011,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,train
253,11-01-2011,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,train
254,11-01-2011,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,train
255,11-01-2011,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,train
256,12-01-2011,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,train
257,12-01-2011,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,train
258,12-01-2011,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,train
259,12-01-2011,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,train
260,12-01-2011,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,train
261,12-01-2011,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,train
262,12-01-2011,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,train
263,12-01-2011,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,train
264,12-01-2011,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,train
265,12-01-2011,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,train
266,12-01-2011,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,train
267,12-01-2011,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,train
268,12-01-2011,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,train
269,12-01-2011,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49,train
270,12-01-2011,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68,train
271,12-01-2011,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,train
272,12-01-2011,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137,train
273,12-01-2011,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83,train
274,12-01-2011,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56,train
